Stressor,Compartment,Subcompartment 1,Subcompartment 2,Unit,Description,Source,GWP
FD_EQ_div_freshwater_climate,Functional Diversity,freshwater,species divergence,PDF_FDdiv,Freshwater biodiversity loss due to disruptions in species divergence caused by ghg emissions from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_freshwater,Functional Diversity,freshwater,species divergence,PDF_FDdiv,Total freshwater biodiversity loss due to disruptions in species divergence from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_marine_climate,Functional Diversity,marine,species divergence,PDF_FDdiv,Marine biodiversity loss due to disruptions in species divergence caused by ghg emissions from from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_marine,Functional Diversity,marine,species divergence,PDF_FDdiv,Total marine biodiversity loss due to disruptions in species divergence from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_terrestrial_climate,Functional Diversity,terrestrial,species divergence,PDF_FDdiv,Terrestrial biodiversity loss due to disruptions in species divergence caused by ghg emissions from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_div_terrestrial,Functional Diversity,terrestrial,species divergence,PDF_FDdiv,Total terrestrial biodiversity loss due to disruptions in species divergence from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_freshwater_climate,Functional Diversity,freshwater,species evenness,PDF_FDeve,Freshwater biodiversity loss due to disruptions in species evenness caused by ghg emissions from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_freshwater,Functional Diversity,freshwater,species evenness,PDF_FDeve,Total freshwater biodiversity loss due to disruptions in species evenness from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_marine_climate,Functional Diversity,marine,species evenness,PDF_FDeve,Marine biodiversity loss due to disruptions in species evenness caused by ghg emissions from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_marine,Functional Diversity,marine,species evenness,PDF_FDeve,Total marine biodiversity loss due to disruptions in species evenness from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_terrestrial_climate,Functional Diversity,terrestrial,species evenness,PDF_FDeve,Terrestrial biodiversity loss due to disruptions in species evenness caused by ghg emissions from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_eve_terrestrial,Functional Diversity,terrestrial,species evenness,PDF_FDeve,Total terrestrial biodiversity loss due to disruptions in species evenness from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
FD_EQ_ric_freshwater_climate,Functional Diversity,freshwater,species richness,PDF_FDric,Freshwater biodiversity loss due to disruptions in species richness caused by ghg emissions from final demand activities. Calculated using an average approach.  Is dependent on other FABIO extensions. For overview of pressure to impact relationships see -inst/conc_biodiversity_cfs.csv-.,"BAMBOO internal (M9);
10.1890/07-1206.1;
10.1111/gcb.16723
",
